trial_id,participant_id,age,gender,height_cm,weight_kg,surface,shoes,false_start,total_time_sec,performance_band,timestamp_ms,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,split_1_sec,split_2_sec,split_3_sec,split_4_sec,max_velocity_ms,avg_velocity_ms,stride_length_cm,stride_frequency_hz,avg_turn_time_ms,change_of_direction_deficit,acceleration_time_sec,deceleration_time_sec,reaction_time_ms,fatigue_index,coordination_score,balance_score,agility_rating,knee_lift_angle_deg,arm_swing_amplitude_deg,body_lean_angle_deg,foot_strike_pattern,balance_recovery_time_ms,hr_baseline_bpm,hr_peak_bpm,hr_recovery_30s_bpm
SH0811,P811,31,F,166.8,74.4,rubberized_floor,basketball_shoes,0,16.0,Below Average,1704104100000,0.3,-0.58,8.69,0.635,0.1,0.475,3.81,3.77,3.74,4.68,2.46,2.5,165.0,4.1,586.0,0.45,1.93,1.01,197.0,0.38,8.2,8.5,9.9,65.0,126.0,19.0,midfoot,109.0,62.0,104.0,77.0
SH0812,P812,32,M,169.1,79.8,gym_floor,cross_trainers,0,13.34,Average,1704104130000,-0.16,-1.3,8.92,-0.787,0.277,0.757,3.7,3.12,3.13,3.38,3.6,3.0,182.0,4.0,457.0,0.23,1.85,0.88,201.0,0.12,9.7,6.8,6.3,78.0,121.0,16.0,midfoot,209.0,61.0,140.0,108.0
SH0813,P813,24,F,161.4,50.3,gym_floor,cross_trainers,0,12.5,Average,1704104160000,0.39,0.1,8.92,-0.574,0.259,-0.426,3.27,3.05,3.09,3.1,2.87,3.2,165.0,3.3,628.0,0.33,1.72,1.12,212.0,0.24,8.4,8.2,6.8,87.0,119.0,15.0,heel,132.0,64.0,118.0,98.0
SH0814,P814,25,M,179.0,65.0,grass,spikes,0,12.08,Good,1704104190000,-1.61,-0.62,9.87,0.601,0.298,-0.763,2.77,2.99,2.87,3.45,3.4,3.31,164.0,3.7,500.0,0.27,1.95,1.14,225.0,0.05,9.4,9.0,8.6,81.0,101.0,10.0,forefoot,321.0,79.0,134.0,108.0
SH0815,P815,33,F,159.0,67.1,rubberized_floor,basketball_shoes,0,15.49,Below Average,1704104220000,2.0,-1.02,9.16,-0.057,0.347,1.051,3.88,3.68,3.86,4.06,2.51,2.58,168.0,4.2,575.0,0.53,1.66,1.32,214.0,0.08,8.0,8.4,9.0,72.0,117.0,11.0,forefoot,188.0,61.0,130.0,110.0
SH0816,P816,28,M,169.3,74.5,rubberized_floor,running_shoes,1,12.82,Good,1704104250000,-2.4,-0.8,10.39,-0.184,0.439,-0.542,3.55,3.38,3.38,2.5,2.77,3.12,180.0,4.2,572.0,0.2,1.51,1.18,221.0,0.3,9.5,8.6,9.4,94.0,89.0,24.0,forefoot,293.0,78.0,134.0,111.0
SH0817,P817,19,M,171.9,70.3,synthetic_track,cross_trainers,0,10.87,Very Good,1704104280000,2.14,-1.24,9.42,0.716,0.401,0.483,2.6,2.79,2.66,2.82,3.81,3.68,168.0,3.8,490.0,0.5,1.37,1.04,178.0,0.07,6.5,6.3,8.4,91.0,112.0,10.0,forefoot,136.0,69.0,136.0,108.0
SH0818,P818,20,F,161.8,61.7,grass,cross_trainers,0,14.64,Below Average,1704104310000,-0.48,-0.11,10.1,-0.268,-0.353,0.896,3.38,3.57,3.44,4.24,2.42,2.73,155.0,3.4,611.0,0.44,1.2,0.84,299.0,0.2,7.7,9.8,9.6,62.0,98.0,19.0,forefoot,190.0,61.0,120.0,101.0
SH0819,P819,24,M,173.6,60.1,rubberized_floor,running_shoes,0,11.45,Very Good,1704104340000,1.25,-1.16,10.08,-0.758,-0.057,0.21,2.85,2.72,2.86,3.01,4.13,3.49,149.0,4.1,506.0,0.4,1.26,1.33,245.0,0.18,8.5,7.3,6.2,92.0,82.0,9.0,heel,389.0,61.0,129.0,110.0
SH0820,P820,29,M,158.1,78.8,rubberized_floor,spikes,0,13.11,Average,1704104370000,-2.0,-0.78,8.55,-0.73,-0.47,0.722,2.89,3.31,3.08,3.82,2.81,3.05,186.0,3.4,576.0,0.44,1.72,1.17,152.0,0.11,7.1,7.1,9.5,81.0,129.0,14.0,midfoot,267.0,61.0,126.0,95.0
SH0821,P821,32,F,155.4,75.8,gym_floor,spikes,0,15.3,Below Average,1704104400000,-1.19,-0.42,9.49,-0.225,0.053,-0.627,3.89,3.74,3.91,3.76,2.76,2.61,127.0,3.6,579.0,0.37,1.22,1.1,299.0,0.26,8.6,9.0,6.5,73.0,95.0,18.0,midfoot,256.0,73.0,128.0,105.0
SH0822,P822,24,M,167.7,82.0,concrete,turf_shoes,0,12.44,Good,1704104430000,-0.7,-0.93,9.24,0.566,0.238,-0.397,2.8,3.19,3.16,3.29,3.74,3.22,179.0,4.0,346.0,0.48,1.37,1.17,159.0,0.28,8.3,9.8,6.9,86.0,97.0,18.0,forefoot,388.0,62.0,105.0,89.0
SH0823,P823,25,M,168.0,68.1,synthetic_track,basketball_shoes,0,12.23,Good,1704104460000,-1.2,0.39,8.58,-0.181,-0.207,-0.651,3.38,3.27,3.08,2.5,3.46,3.27,170.0,3.5,596.0,0.46,1.63,1.36,271.0,0.08,7.0,7.2,7.3,76.0,106.0,9.0,forefoot,254.0,61.0,122.0,88.0
SH0824,P824,29,M,177.2,70.3,grass,spikes,0,12.65,Average,1704104490000,0.08,-0.64,10.49,-0.361,-0.047,-1.193,3.0,3.32,2.91,3.42,2.97,3.16,160.0,4.0,544.0,0.55,1.39,1.12,214.0,0.11,8.2,9.5,6.2,61.0,89.0,25.0,forefoot,381.0,64.0,141.0,113.0
SH0825,P825,34,M,176.6,58.6,gym_floor,basketball_shoes,0,12.37,Good,1704104520000,-0.3,-0.23,9.83,0.429,-0.171,1.018,2.93,2.97,3.18,3.29,3.8,3.23,176.0,3.3,434.0,0.54,1.74,1.02,175.0,0.06,8.7,6.5,7.9,72.0,89.0,19.0,midfoot,145.0,60.0,132.0,117.0
SH0826,P826,17,M,162.7,69.1,gym_floor,spikes,0,11.1,Very Good,1704104550000,1.59,1.02,9.95,-0.404,0.22,-0.608,2.96,2.93,2.82,2.38,3.19,3.6,166.0,4.3,467.0,0.46,1.66,0.99,201.0,0.23,6.8,7.7,7.1,66.0,128.0,10.0,forefoot,324.0,70.0,124.0,100.0
SH0827,P827,16,F,170.5,63.4,grass,spikes,0,14.21,Below Average,1704104580000,1.27,0.04,9.07,0.564,0.097,0.191,3.96,3.58,3.8,2.86,2.99,2.82,170.0,4.0,583.0,0.27,1.44,1.19,197.0,0.3,7.7,9.2,9.0,77.0,99.0,15.0,midfoot,208.0,66.0,120.0,101.0
SH0828,P828,20,F,166.0,46.4,synthetic_track,basketball_shoes,0,13.28,Average,1704104610000,1.59,-0.82,9.7,-0.6,0.478,-0.109,3.46,3.2,3.47,3.15,3.4,3.01,178.0,4.4,601.0,0.16,1.5,1.02,299.0,0.25,6.5,6.4,7.5,82.0,108.0,19.0,heel,277.0,61.0,121.0,86.0
SH0829,P829,19,M,186.3,49.6,gym_floor,basketball_shoes,0,11.72,Good,1704104640000,-0.97,-0.34,10.43,-0.665,0.319,-0.38,3.11,2.76,2.82,3.03,3.89,3.41,152.0,3.5,502.0,0.14,1.89,1.32,262.0,0.23,7.7,8.4,8.6,78.0,118.0,20.0,forefoot,199.0,65.0,127.0,105.0
SH0830,P830,34,F,167.0,45.0,concrete,spikes,0,13.84,Below Average,1704104670000,1.68,-1.28,9.64,0.121,-0.116,-0.19,3.69,3.52,3.47,3.16,3.24,2.89,178.0,3.4,637.0,0.18,1.43,1.17,277.0,0.14,6.7,9.6,7.6,71.0,84.0,12.0,forefoot,384.0,68.0,133.0,110.0
SH0831,P831,17,F,162.0,51.7,rubberized_floor,cross_trainers,0,12.82,Average,1704104700000,0.7,-1.16,9.91,0.516,0.322,-0.518,3.42,3.42,3.08,2.9,2.82,3.12,171.0,3.4,646.0,0.27,1.36,1.1,188.0,0.25,9.4,8.1,6.5,80.0,115.0,9.0,midfoot,373.0,70.0,139.0,106.0
SH0832,P832,31,M,186.0,86.6,rubberized_floor,cross_trainers,0,12.72,Average,1704104730000,1.11,-0.72,9.67,0.547,-0.204,0.953,3.17,3.38,3.19,2.98,3.3,3.14,180.0,4.5,586.0,0.17,1.79,0.88,280.0,0.08,9.4,8.4,9.8,65.0,116.0,17.0,forefoot,139.0,71.0,113.0,81.0
SH0833,P833,32,F,166.0,64.2,synthetic_track,basketball_shoes,0,14.48,Below Average,1704104760000,-0.79,-0.47,8.77,0.279,0.147,-0.957,3.78,3.69,3.82,3.19,2.73,2.76,175.0,3.6,631.0,0.19,1.85,0.93,238.0,0.32,9.7,6.1,9.7,74.0,140.0,12.0,forefoot,115.0,79.0,137.0,109.0
SH0834,P834,21,F,162.1,65.5,grass,basketball_shoes,0,16.0,Below Average,1704104790000,0.82,0.19,9.92,0.402,-0.314,-0.937,3.84,4.17,4.02,3.98,2.07,2.5,137.0,3.9,606.0,0.58,1.3,1.1,276.0,0.31,6.2,7.3,8.5,76.0,135.0,13.0,midfoot,242.0,78.0,150.0,117.0
SH0835,P835,34,F,166.6,47.0,rubberized_floor,running_shoes,0,14.27,Below Average,1704104820000,0.02,-1.47,9.02,-0.283,0.352,0.818,3.88,3.71,3.48,3.2,2.36,2.8,163.0,3.3,520.0,0.29,1.5,0.94,186.0,0.06,9.5,8.7,7.1,72.0,112.0,13.0,midfoot,224.0,66.0,144.0,124.0
SH0836,P836,26,F,168.1,45.0,gym_floor,spikes,0,11.96,Good,1704104850000,-1.29,-0.85,9.1,0.583,0.267,0.434,2.99,2.78,2.79,3.4,3.29,3.34,139.0,3.6,448.0,0.3,1.29,0.94,161.0,0.3,7.0,6.3,7.3,74.0,100.0,10.0,forefoot,170.0,80.0,153.0,138.0
SH0837,P837,22,M,163.7,78.1,grass,turf_shoes,0,13.83,Below Average,1704104880000,-1.84,-0.17,9.76,0.087,0.478,0.686,3.38,3.73,3.26,3.47,3.21,2.89,158.0,3.3,562.0,0.34,1.84,1.0,268.0,0.09,9.6,8.2,7.9,87.0,95.0,13.0,forefoot,371.0,72.0,138.0,107.0
SH0838,P838,18,F,157.8,65.3,grass,spikes,0,14.98,Below Average,1704104910000,-0.41,-0.97,9.2,-0.406,-0.271,-0.522,3.99,3.52,3.79,3.68,2.33,2.67,140.0,3.8,580.0,0.26,1.83,1.33,288.0,0.2,9.0,6.7,7.1,93.0,104.0,24.0,heel,298.0,60.0,116.0,83.0
SH0839,P839,15,F,161.2,59.4,rubberized_floor,spikes,0,13.1,Average,1704104940000,0.39,1.04,10.15,0.652,-0.383,-0.851,3.16,3.44,3.4,3.11,2.54,3.05,163.0,3.0,525.0,0.56,1.37,1.18,235.0,0.27,6.2,6.3,6.0,62.0,97.0,22.0,forefoot,165.0,68.0,142.0,122.0
SH0840,P840,16,F,159.6,48.7,gym_floor,basketball_shoes,0,13.84,Below Average,1704104970000,0.9,-0.77,9.76,-0.443,-0.112,0.856,3.43,3.33,3.44,3.64,3.17,2.89,168.0,3.2,485.0,0.16,1.42,1.37,189.0,0.27,9.0,6.1,7.6,76.0,138.0,12.0,forefoot,310.0,77.0,133.0,104.0
SH0841,P841,18,M,170.3,48.6,rubberized_floor,spikes,1,10.86,Excellent,1704105000000,-2.37,-1.19,9.82,-0.334,0.451,-0.153,2.89,2.64,2.57,2.76,3.58,3.68,178.0,3.1,567.0,0.59,1.71,1.39,156.0,0.06,7.4,9.9,6.6,76.0,85.0,17.0,forefoot,201.0,73.0,119.0,89.0
SH0842,P842,17,M,186.5,79.6,gym_floor,turf_shoes,0,11.33,Very Good,1704105030000,-0.68,1.45,9.65,0.757,-0.473,0.547,2.54,2.92,2.63,3.24,3.98,3.53,189.0,3.1,549.0,0.17,1.42,1.18,205.0,0.34,9.9,6.5,6.6,76.0,99.0,18.0,forefoot,220.0,67.0,139.0,105.0
SH0843,P843,21,F,159.5,73.4,synthetic_track,cross_trainers,1,14.32,Below Average,1704105060000,0.48,1.21,8.9,0.416,0.185,-0.562,3.9,3.67,3.47,3.28,2.98,2.79,135.0,3.2,626.0,0.13,1.8,0.94,175.0,0.07,6.1,7.6,7.9,67.0,121.0,9.0,forefoot,144.0,64.0,120.0,103.0
SH0844,P844,25,M,175.1,64.2,synthetic_track,running_shoes,0,10.95,Very Good,1704105090000,-0.85,0.75,8.65,0.577,0.316,0.638,3.03,2.65,2.92,2.35,3.37,3.65,156.0,4.4,447.0,0.55,1.94,1.1,213.0,0.3,9.5,9.8,7.3,71.0,125.0,9.0,forefoot,137.0,66.0,116.0,84.0
SH0845,P845,23,M,179.2,63.7,rubberized_floor,cross_trainers,0,10.97,Very Good,1704105120000,-1.33,-0.82,9.43,-0.786,0.031,1.087,2.96,2.66,2.91,2.44,3.14,3.65,196.0,3.7,706.0,0.28,1.53,1.0,219.0,0.08,6.8,8.5,8.3,88.0,90.0,10.0,midfoot,220.0,61.0,115.0,85.0
SH0846,P846,28,F,172.2,45.0,concrete,turf_shoes,0,13.61,Below Average,1704105150000,-1.54,0.4,10.28,0.234,0.313,0.052,3.73,3.47,3.61,2.81,3.19,2.94,127.0,4.0,676.0,0.52,1.34,1.2,235.0,0.23,9.3,7.2,7.6,61.0,86.0,10.0,forefoot,174.0,75.0,138.0,107.0
SH0847,P847,15,F,161.8,50.3,synthetic_track,spikes,1,13.1,Average,1704105180000,1.85,-1.36,9.94,0.064,0.325,0.017,2.93,3.51,3.19,3.46,3.1,3.05,173.0,4.4,427.0,0.57,1.91,1.34,223.0,0.08,7.2,6.6,8.6,84.0,114.0,23.0,midfoot,272.0,69.0,127.0,93.0
SH0848,P848,34,M,171.4,68.0,rubberized_floor,running_shoes,0,12.12,Good,1704105210000,0.78,-0.2,9.07,-0.34,-0.266,-0.375,3.32,2.99,3.26,2.55,3.79,3.3,161.0,4.3,454.0,0.23,1.26,0.82,273.0,0.14,8.4,7.2,7.8,71.0,131.0,16.0,midfoot,212.0,68.0,115.0,81.0
SH0849,P849,17,F,170.5,54.3,rubberized_floor,running_shoes,0,12.92,Average,1704105240000,1.65,-0.97,8.94,-0.296,0.288,-0.306,3.46,3.01,3.29,3.16,2.92,3.1,127.0,3.8,582.0,0.23,1.45,1.08,249.0,0.05,9.7,8.8,9.7,69.0,134.0,19.0,heel,147.0,66.0,120.0,99.0
SH0850,P850,24,M,156.9,65.6,grass,turf_shoes,0,12.86,Average,1704105270000,0.71,-0.57,8.66,0.334,-0.041,0.136,3.06,3.14,3.23,3.44,3.05,3.11,172.0,4.0,660.0,0.21,1.73,1.27,211.0,0.09,8.7,7.9,10.0,89.0,93.0,20.0,forefoot,105.0,63.0,118.0,101.0
SH0851,P851,15,F,166.3,51.0,gym_floor,spikes,0,12.87,Average,1704105300000,1.71,-0.24,10.24,0.041,-0.029,0.524,2.96,3.42,3.47,3.02,2.75,3.11,145.0,3.4,483.0,0.21,1.86,0.93,233.0,0.29,9.7,8.7,9.6,82.0,130.0,22.0,forefoot,290.0,78.0,156.0,127.0
SH0852,P852,27,F,165.9,51.3,gym_floor,basketball_shoes,0,13.61,Below Average,1704105330000,0.5,0.23,9.08,-0.468,0.265,1.045,3.58,3.61,3.25,3.17,2.41,2.94,131.0,3.9,596.0,0.51,1.67,1.38,166.0,0.32,9.2,8.8,6.2,67.0,82.0,23.0,midfoot,166.0,76.0,118.0,97.0
SH0853,P853,26,M,185.7,77.5,rubberized_floor,spikes,0,10.49,Excellent,1704105360000,-2.12,0.3,9.78,0.506,-0.211,1.155,2.77,2.65,2.48,2.58,3.72,3.81,149.0,3.8,563.0,0.46,1.8,0.94,232.0,0.16,6.4,7.5,9.7,71.0,88.0,16.0,midfoot,391.0,70.0,117.0,88.0
SH0854,P854,16,M,188.6,69.3,rubberized_floor,spikes,0,10.84,Very Good,1704105390000,1.75,0.99,9.45,0.097,0.213,0.424,2.74,2.83,2.64,2.63,2.98,3.69,185.0,3.7,485.0,0.29,1.47,1.38,266.0,0.1,9.1,6.1,9.8,63.0,98.0,19.0,midfoot,183.0,69.0,117.0,101.0
SH0855,P855,32,M,157.7,72.9,grass,cross_trainers,0,15.54,Below Average,1704105420000,-1.78,-1.49,8.65,-0.06,0.207,0.194,3.57,4.05,3.93,3.98,2.57,2.57,156.0,3.8,506.0,0.58,1.22,0.92,290.0,0.27,7.8,8.6,6.8,91.0,100.0,22.0,forefoot,176.0,78.0,122.0,88.0
SH0856,P856,26,M,175.5,72.5,concrete,spikes,0,11.42,Very Good,1704105450000,0.2,0.77,8.51,-0.005,0.237,0.679,3.07,2.76,2.83,2.77,3.02,3.5,198.0,3.0,473.0,0.4,1.79,1.26,230.0,0.32,8.9,8.9,6.2,63.0,81.0,22.0,midfoot,224.0,79.0,149.0,115.0
SH0857,P857,20,M,174.7,79.3,rubberized_floor,basketball_shoes,0,12.79,Average,1704105480000,1.56,0.86,8.81,-0.426,-0.234,0.764,2.85,3.19,3.41,3.34,3.52,3.13,187.0,3.5,577.0,0.13,1.71,1.3,287.0,0.15,8.7,7.7,6.5,68.0,129.0,25.0,midfoot,287.0,66.0,107.0,88.0
SH0858,P858,20,M,184.3,56.6,rubberized_floor,turf_shoes,0,10.8,Very Good,1704105510000,1.92,-0.94,9.54,0.019,0.104,-0.414,2.78,2.72,2.87,2.43,4.26,3.7,193.0,3.2,537.0,0.14,1.44,1.39,247.0,0.13,6.1,8.7,8.4,68.0,106.0,10.0,forefoot,127.0,71.0,127.0,106.0
SH0859,P859,17,F,154.8,51.5,synthetic_track,basketball_shoes,0,13.15,Average,1704105540000,0.99,-1.13,10.4,-0.656,0.443,0.8,3.09,3.19,3.33,3.55,3.26,3.04,127.0,3.6,485.0,0.22,1.69,1.39,268.0,0.08,8.1,7.7,7.5,94.0,105.0,13.0,heel,381.0,73.0,114.0,84.0
SH0860,P860,33,F,159.2,47.2,grass,basketball_shoes,0,15.83,Below Average,1704105570000,-1.71,0.07,9.99,-0.363,0.439,-0.733,3.67,4.26,4.22,3.67,2.09,2.53,134.0,3.8,702.0,0.38,1.55,1.39,229.0,0.32,6.2,8.5,6.8,69.0,104.0,24.0,midfoot,272.0,64.0,121.0,91.0
SH0861,P861,22,M,170.6,78.4,grass,spikes,0,12.72,Average,1704105600000,-2.38,0.15,8.95,-0.674,0.23,-0.005,3.26,3.03,3.34,3.1,3.52,3.14,171.0,3.3,546.0,0.41,1.96,0.85,156.0,0.17,6.4,9.4,6.4,76.0,114.0,17.0,heel,331.0,80.0,139.0,122.0
SH0862,P862,21,F,163.9,45.0,concrete,turf_shoes,0,12.54,Average,1704105630000,-1.37,-0.02,8.84,0.277,-0.132,-0.425,2.97,2.97,3.27,3.33,3.14,3.19,135.0,3.1,584.0,0.41,1.39,0.9,177.0,0.34,9.9,7.2,9.6,78.0,85.0,20.0,midfoot,149.0,75.0,132.0,102.0
SH0863,P863,24,M,174.0,54.2,rubberized_floor,spikes,0,10.44,Excellent,1704105660000,0.64,-1.46,9.92,0.165,0.215,0.971,2.75,2.69,2.5,2.51,3.29,3.83,153.0,4.0,567.0,0.19,1.73,1.1,226.0,0.25,7.5,7.2,9.8,93.0,119.0,24.0,forefoot,354.0,67.0,139.0,107.0
SH0864,P864,25,F,165.7,51.8,gym_floor,running_shoes,0,12.74,Average,1704105690000,1.13,-1.2,10.01,-0.623,0.414,-0.537,2.8,3.38,2.93,3.62,3.23,3.14,168.0,3.7,460.0,0.36,1.37,1.16,160.0,0.07,8.1,6.7,7.0,60.0,93.0,20.0,forefoot,203.0,63.0,126.0,104.0
SH0865,P865,22,F,170.1,66.5,grass,basketball_shoes,0,14.79,Below Average,1704105720000,0.04,-0.74,10.31,0.426,-0.007,1.117,4.02,3.76,3.63,3.37,2.75,2.7,161.0,4.1,529.0,0.31,1.58,1.21,169.0,0.35,9.5,9.2,6.1,89.0,103.0,18.0,heel,373.0,76.0,124.0,94.0
SH0866,P866,25,F,166.3,62.3,concrete,turf_shoes,0,12.78,Average,1704105750000,0.55,0.83,9.6,-0.705,0.206,-0.28,3.4,3.32,3.28,2.78,2.9,3.13,180.0,3.7,652.0,0.45,1.84,1.03,200.0,0.22,7.8,9.9,6.1,60.0,134.0,13.0,forefoot,346.0,66.0,132.0,100.0
SH0867,P867,24,F,166.4,64.6,rubberized_floor,running_shoes,0,12.57,Average,1704105780000,0.29,-0.6,9.47,-0.264,-0.305,0.358,2.81,2.95,3.3,3.52,3.4,3.18,138.0,3.5,687.0,0.17,1.36,1.27,252.0,0.3,7.0,7.8,6.6,73.0,127.0,12.0,midfoot,319.0,79.0,129.0,112.0
SH0868,P868,34,M,175.1,63.1,grass,cross_trainers,0,13.48,Average,1704105810000,-1.65,-0.5,9.33,0.646,-0.304,1.132,3.32,3.38,3.6,3.18,3.34,2.97,163.0,3.1,719.0,0.48,1.66,1.29,285.0,0.09,6.3,8.5,7.0,90.0,85.0,8.0,forefoot,200.0,73.0,118.0,94.0
SH0869,P869,21,F,165.0,54.4,synthetic_track,running_shoes,0,12.71,Average,1704105840000,0.66,1.24,10.24,0.632,-0.437,0.818,3.28,3.14,3.14,3.15,3.5,3.15,155.0,3.5,616.0,0.5,1.71,1.21,180.0,0.31,6.9,9.9,8.6,66.0,84.0,17.0,forefoot,157.0,67.0,145.0,124.0
SH0870,P870,31,M,171.7,82.8,rubberized_floor,spikes,0,12.07,Good,1704105870000,-1.34,0.15,9.27,0.739,-0.067,0.202,3.09,2.96,2.97,3.06,3.9,3.31,150.0,3.9,588.0,0.37,1.35,1.13,287.0,0.25,9.9,8.9,7.9,65.0,113.0,11.0,midfoot,390.0,67.0,125.0,101.0
SH0871,P871,33,M,182.3,62.0,synthetic_track,spikes,0,10.95,Very Good,1704105900000,1.69,-0.94,10.46,-0.197,0.116,-1.013,3.02,2.95,2.72,2.26,3.43,3.65,174.0,4.3,645.0,0.21,1.89,1.16,197.0,0.33,8.9,6.3,9.1,78.0,96.0,24.0,midfoot,396.0,67.0,133.0,106.0
SH0872,P872,32,F,163.2,56.9,gym_floor,basketball_shoes,0,14.37,Below Average,1704105930000,-1.04,1.23,9.35,0.737,-0.286,1.194,3.75,3.36,3.67,3.59,3.0,2.78,173.0,3.3,628.0,0.47,1.22,1.36,249.0,0.06,9.9,7.4,6.4,77.0,96.0,16.0,forefoot,115.0,60.0,125.0,99.0
SH0873,P873,33,F,166.7,45.7,gym_floor,turf_shoes,0,13.23,Average,1704105960000,1.66,0.49,8.57,-0.2,0.008,0.556,3.06,3.3,3.31,3.57,2.77,3.02,167.0,4.1,567.0,0.2,1.68,0.81,275.0,0.39,7.6,9.1,7.6,81.0,89.0,14.0,forefoot,281.0,76.0,142.0,111.0
SH0874,P874,17,F,166.2,62.3,grass,spikes,1,14.62,Below Average,1704105990000,1.86,0.46,9.08,0.78,0.45,0.179,3.65,3.49,3.76,3.72,3.11,2.74,131.0,3.1,473.0,0.29,1.53,0.99,211.0,0.37,7.0,7.4,6.7,68.0,121.0,10.0,forefoot,196.0,79.0,136.0,107.0
SH0875,P875,22,M,166.7,73.6,rubberized_floor,cross_trainers,0,11.81,Good,1704106020000,-2.28,-0.6,9.17,-0.652,0.12,-0.368,3.11,2.8,2.77,3.14,3.56,3.39,149.0,3.4,527.0,0.18,1.74,1.05,176.0,0.18,8.2,6.2,9.4,63.0,88.0,19.0,midfoot,303.0,71.0,149.0,124.0
SH0876,P876,20,M,179.0,50.8,concrete,basketball_shoes,0,11.99,Good,1704106050000,-2.01,0.14,9.13,0.038,-0.294,0.812,2.88,3.12,2.87,3.12,4.0,3.34,177.0,4.1,679.0,0.47,1.37,1.31,280.0,0.39,7.7,6.9,8.2,86.0,80.0,10.0,forefoot,130.0,68.0,121.0,104.0
SH0877,P877,30,M,177.2,80.9,synthetic_track,basketball_shoes,0,12.81,Average,1704106080000,-0.45,-0.55,9.38,0.177,-0.007,0.811,3.31,3.33,2.98,3.19,3.62,3.12,144.0,3.2,599.0,0.17,1.54,0.89,160.0,0.26,9.4,8.3,7.5,64.0,125.0,22.0,forefoot,145.0,76.0,128.0,109.0
SH0878,P878,16,M,184.7,79.7,rubberized_floor,basketball_shoes,0,12.31,Good,1704106110000,-1.01,1.22,8.61,-0.666,0.199,-0.743,3.23,3.3,3.19,2.59,3.01,3.25,182.0,4.0,486.0,0.54,1.44,0.98,230.0,0.16,9.0,6.9,9.6,87.0,99.0,24.0,heel,300.0,62.0,113.0,87.0
SH0879,P879,29,M,172.4,74.3,synthetic_track,basketball_shoes,0,12.99,Average,1704106140000,-2.29,-0.86,9.89,0.521,0.307,0.684,3.41,3.48,3.22,2.87,2.62,3.08,148.0,4.0,672.0,0.58,1.76,1.28,297.0,0.22,7.7,6.4,6.7,60.0,137.0,16.0,midfoot,265.0,62.0,127.0,92.0
SH0880,P880,31,F,162.1,52.4,grass,spikes,0,14.09,Below Average,1704106170000,-0.64,1.2,9.51,-0.085,0.318,-1.083,3.52,3.36,3.69,3.51,2.37,2.84,141.0,4.4,564.0,0.23,1.33,1.1,182.0,0.05,6.2,6.1,8.0,70.0,109.0,15.0,forefoot,274.0,74.0,141.0,118.0
SH0881,P881,20,F,162.0,46.7,concrete,basketball_shoes,0,13.88,Below Average,1704106200000,-1.52,-1.22,10.39,0.389,-0.187,-0.491,3.09,3.32,3.69,3.78,3.34,2.88,154.0,4.2,528.0,0.38,1.95,1.35,251.0,0.22,7.9,7.3,8.4,89.0,91.0,14.0,midfoot,174.0,69.0,147.0,120.0
SH0882,P882,17,F,168.9,64.4,concrete,cross_trainers,0,14.17,Below Average,1704106230000,-1.79,0.06,9.01,0.798,-0.233,-0.646,3.53,3.34,3.52,3.78,2.96,2.82,139.0,3.3,484.0,0.58,1.49,0.83,211.0,0.35,9.9,9.2,7.0,73.0,114.0,17.0,forefoot,292.0,69.0,110.0,79.0
SH0883,P883,26,F,161.4,48.0,concrete,turf_shoes,0,13.53,Below Average,1704106260000,-0.45,0.71,8.76,0.246,0.326,0.935,3.14,3.63,3.6,3.17,3.05,2.96,127.0,3.8,470.0,0.49,1.4,1.11,299.0,0.18,7.6,6.8,8.5,79.0,100.0,23.0,midfoot,154.0,78.0,124.0,107.0
SH0884,P884,15,M,180.2,55.9,concrete,cross_trainers,0,12.42,Good,1704106290000,0.15,0.46,8.61,-0.331,-0.039,-0.56,2.92,3.18,3.33,2.99,2.64,3.22,158.0,4.3,544.0,0.35,1.97,0.88,219.0,0.24,9.9,7.8,9.8,88.0,123.0,19.0,forefoot,338.0,79.0,119.0,93.0
SH0885,P885,31,F,164.6,66.9,gym_floor,cross_trainers,0,14.32,Below Average,1704106320000,1.25,0.65,10.43,0.582,0.315,-0.993,3.42,3.74,3.8,3.37,2.5,2.79,175.0,3.6,508.0,0.29,1.53,1.03,216.0,0.13,8.7,7.4,6.1,61.0,108.0,12.0,forefoot,183.0,72.0,152.0,126.0
SH0886,P886,26,M,175.8,77.8,gym_floor,turf_shoes,0,11.77,Good,1704106350000,-0.63,-1.0,9.07,-0.156,0.145,-1.189,3.16,2.77,3.04,2.79,3.88,3.4,152.0,4.3,665.0,0.26,1.46,1.35,255.0,0.28,6.1,6.8,7.7,83.0,133.0,10.0,forefoot,318.0,73.0,131.0,115.0
SH0887,P887,18,F,156.3,54.7,concrete,turf_shoes,0,12.74,Average,1704106380000,1.4,1.11,9.28,0.018,0.453,0.085,3.55,3.42,3.13,2.65,3.76,3.14,177.0,3.2,491.0,0.44,1.35,0.95,212.0,0.13,9.1,7.5,6.0,84.0,92.0,22.0,forefoot,218.0,66.0,132.0,115.0
SH0888,P888,20,F,160.0,45.0,synthetic_track,cross_trainers,0,12.51,Average,1704106410000,1.92,-1.28,10.16,-0.532,-0.411,-0.714,3.04,3.05,3.04,3.38,2.69,3.2,174.0,3.0,551.0,0.49,1.4,1.03,167.0,0.15,7.7,7.2,6.4,89.0,88.0,21.0,forefoot,365.0,69.0,115.0,81.0
